Date,Title,URL,Has Alignment,Turkey,North Macedonia,Montenegro,Serbia,Albania,Ukraine,Moldova,Bosnia and Herzegovina,Georgia,Iceland,Liechtenstein,Norway,Armenia,Azerbaijan,Andorra,Monaco,San Marino,UK
2025-10-16,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue with the Chair of the Human Rights Committee,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-chair-human-rights-committee_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-16,"EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on Economic, Social and Cultural Rights",https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-economic-social-and-cultural_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-15,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on Torture,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-torture_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-15,EU Statement – UN General Assembly: WSIS+20 Review,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-wsis20-review_en,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2025-10-01,A Child-Centred Response to the Sexual Exploitation of Children in Street Situations,https://www.eeas.europa.eu/delegations/un-new-york/child-centred-response-sexual-exploitation-children-street-situations_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-14,EU Statement- UN General Assembly 3rd Committee: Interactive dialogue on the Rights of the Child,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-un-general-assembly-3rd-committee-interactive-dialogue-rights-child_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-14,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue with the UN Office on Drugs and Crime,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-un-office-drugs-and-crime_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-14,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on Indigenous Peoples,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-indigenous-peoples_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-14,EU Statement – UN General Assembly and ECOSOC: Reimagining Public–Investor Partnerships,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-and-ecosoc-reimagining-public%E2%80%93investor-partnerships_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-06,EU Statement – UN General Assembly 2nd Committee: General Debate,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-2nd-committee-general-debate-2_en,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False
